I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
training #: 10548 testing #: 1463
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K40c
major: 3 minor: 5 memoryClockRate (GHz) 0.745
pciBusID 0000:07:00.0
Total memory: 11.17GiB
Free memory: 11.10GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K40c, pci bus id: 0000:07:00.0)
training error: 2662, training loss: 7688.84365234, Testing error: 639, loss: 12282.5371094
training error: 4939, training loss: 7670.67216797, Testing error: 899, loss: 12291.3896484
training error: 4478, training loss: 7650.71293945, Testing error: 853, loss: 12285.6347656
training error: 2730, training loss: 7639.44277344, Testing error: 649, loss: 12271.2675781
training error: 3755, training loss: 7623.32333984, Testing error: 763, loss: 12273.7773438
training error: 4232, training loss: 7605.73637695, Testing error: 793, loss: 12271.0546875
training error: 3062, training loss: 7596.87021484, Testing error: 689, loss: 12262.0078125
training error: 3123, training loss: 7576.69995117, Testing error: 691, loss: 12262.2207031
training error: 2918, training loss: 7552.83408203, Testing error: 687, loss: 12263.5712891
training error: 3296, training loss: 7542.52954102, Testing error: 717, loss: 12258.2607422
training error: 3922, training loss: 7529.07441406, Testing error: 769, loss: 12256.6035156
training error: 3105, training loss: 7509.84458008, Testing error: 701, loss: 12249.4638672
training error: 2779, training loss: 7488.7019043, Testing error: 649, loss: 12245.0585938
training error: 3347, training loss: 7480.69086914, Testing error: 699, loss: 12246.0712891
training error: 2322, training loss: 7462.08344727, Testing error: 603, loss: 12243.2958984
